tau1,tau2,local_tpr,local_fpr,global_tpr,global_fpr
6.946130964766018e-08,2.3516793747041554e-05,0.966264,0.0,1.0,0.0
6.946130964766018e-08,3.312685276462292e-05,0.9544079999999999,0.0,1.0,0.0
6.946130964766018e-08,4.6664030219980915e-05,0.94848,0.0,1.0,0.0
6.946130964766018e-08,6.573312991256274e-05,0.930696,0.0,1.0,0.0
6.946130964766018e-08,9.259475334069438e-05,0.9129120000000001,0.0,1.0,0.0
6.946130964766018e-08,0.00013043328923525722,0.881296,0.0,1.0,0.0
6.946130964766018e-08,0.00018373441611892432,0.8457279999999999,0.0,0.9999999999999999,0.0
6.946130964766018e-08,0.0002588168700221416,0.78052,0.0,0.9999999999999327,0.0
6.946130964766018e-08,0.0003645815172955977,0.709384,0.0,0.9999999999815332,0.0
6.946130964766018e-08,0.0005135665335191993,0.618488,0.0,0.9999999957325931,0.0
6.946130964766018e-08,0.0007234337777388782,0.511784,0.0,0.9999994081111435,0.0
6.946130964766018e-08,0.00101906256855808,0.40508,0.0,0.9999691559509322,0.0
6.946130964766018e-08,0.0014354990748179218,0.292448,0.0,0.9990110661147209,0.0
6.946130964766018e-08,0.0020221109649026037,0.20155199999999998,0.0,0.9889099693184873,0.0
6.946130964766018e-08,0.0028484398395714596,0.12053599999999999,0.0,0.9233766148608541,0.0
6.946130964766018e-08,0.004012445241870639,0.063232,0.0,0.7292048159914043,0.0
6.946130964766018e-08,0.0056521175540897,0.023712,0.0,0.3811875758043065,0.0
6.946130964766018e-08,0.007961836466173225,0.013832,0.0,0.24313552448816889,0.0
9.784644124054514e-08,9.784644124054514e-08,0.976144,0.734449,1.0,0.9999999999969594
9.784644124054514e-08,1.3783106180984555e-07,0.976144,0.717309,1.0,0.9999999999893772
9.784644124054514e-08,1.9415526368431038e-07,0.976144,0.678744,1.0,0.999999999862904
9.784644124054514e-08,2.7349616205039916e-07,0.976144,0.587045,1.0,0.9999999792004194
9.784644124054514e-08,3.852594528568679e-07,0.976144,0.39422,1.0,0.9999557107202635
9.784644124054514e-08,5.426944382064915e-07,0.976144,0.227962,1.0,0.9943405589576751
9.784644124054514e-08,7.644647031404026e-07,0.976144,0.18853999999999999,1.0,0.9846770518249529
9.784644124054514e-08,1.0768606442308563e-06,0.976144,0.155974,1.0,0.9663398146422765
9.784644124054514e-08,1.5169161405746597e-06,0.976144,0.12597899999999998,1.0,0.9323235841987629
9.784644124054514e-08,2.1367988419517605e-06,0.976144,0.09426999999999999,1.0,0.8619695011355716
9.784644124054514e-08,3.0099945335387307e-06,0.976144,0.058276,1.0,0.6990649503307782
9.784644124054514e-08,4.240018720553743e-06,0.976144,0.027424,1.0,0.4265824670649828
9.784644124054514e-08,5.972688172795604e-06,0.976144,0.006856,1.0,0.1285460077768984
9.784644124054514e-08,8.413407194766748e-06,0.976144,0.000857,1.0,0.017001169625668555
9.784644124054514e-08,1.1851517872198003e-05,0.9741679999999999,0.0,1.0,0.0
9.784644124054514e-08,1.6694600965277867e-05,0.972192,0.0,1.0,0.0
9.784644124054514e-08,2.3516793747041554e-05,0.966264,0.0,1.0,0.0
9.784644124054514e-08,3.312685276462292e-05,0.9544079999999999,0.0,1.0,0.0
9.784644124054514e-08,4.6664030219980915e-05,0.94848,0.0,1.0,0.0
9.784644124054514e-08,6.573312991256274e-05,0.930696,0.0,1.0,0.0
9.784644124054514e-08,9.259475334069438e-05,0.9129120000000001,0.0,1.0,0.0
9.784644124054514e-08,0.00013043328923525722,0.881296,0.0,1.0,0.0
9.784644124054514e-08,0.00018373441611892432,0.8457279999999999,0.0,0.9999999999999999,0.0
9.784644124054514e-08,0.0002588168700221416,0.78052,0.0,0.9999999999999327,0.0
9.784644124054514e-08,0.0003645815172955977,0.709384,0.0,0.9999999999815332,0.0
9.784644124054514e-08,0.0005135665335191993,0.618488,0.0,0.9999999957325931,0.0
9.784644124054514e-08,0.0007234337777388782,0.511784,0.0,0.9999994081111435,0.0
9.784644124054514e-08,0.00101906256855808,0.40508,0.0,0.9999691559509322,0.0
9.784644124054514e-08,0.0014354990748179218,0.292448,0.0,0.9990110661147209,0.0
9.784644124054514e-08,0.0020221109649026037,0.20155199999999998,0.0,0.9889099693184873,0.0
9.784644124054514e-08,0.0028484398395714596,0.12053599999999999,0.0,0.9233766148608541,0.0
9.784644124054514e-08,0.004012445241870639,0.063232,0.0,0.7292048159914043,0.0
9.784644124054514e-08,0.0056521175540897,0.023712,0.0,0.3811875758043065,0.0
9.784644124054514e-08,0.007961836466173225,0.013832,0.0,0.24313552448816889,0.0
1.3783106180984555e-07,1.3783106180984555e-07,0.976144,0.700569,1.0,0.9999999999664313
1.3783106180984555e-07,1.9415526368431038e-07,0.976144,0.662904,1.0,0.9999999996410186
1.3783106180984555e-07,2.7349616205039916e-07,0.976144,0.573345,1.0,0.9999999600481596
1.3783106180984555e-07,3.852594528568679e-07,0.976144,0.38502000000000003,1.0,0.9999401285408046
1.3783106180984555e-07,5.426944382064915e-07,0.976144,0.222642,1.0,0.9935073581429651
1.3783106180984555e-07,7.644647031404026e-07,0.976144,0.18414,1.0,0.9829268828209096
1.3783106180984555e-07,1.0768606442308563e-06,0.976144,0.152334,1.0,0.9633144294413134
1.3783106180984555e-07,1.5169161405746597e-06,0.976144,0.12303899999999998,1.0,0.9276221631739539
1.3783106180984555e-07,2.1367988419517605e-06,0.976144,0.09207,1.0,0.8551070256854082
1.3783106180984555e-07,3.0099945335387307e-06,0.976144,0.056916,1.0,0.6902526946873908
1.3783106180984555e-07,4.240018720553743e-06,0.976144,0.026784,1.0,0.4189883972339803
1.3783106180984555e-07,5.972688172795604e-06,0.976144,0.006696,1.0,0.12573380237945608
1.3783106180984555e-07,8.413407194766748e-06,0.976144,0.000837,1.0,0.016607557987372568
