fpr,tpr,thresholds
0.15,0.218,0.0001140630054124105
0.152,0.218,0.00010903970166918212
0.152,0.22,0.00010869357517739041
0.156,0.22,0.00010797616247941589
0.156,0.226,0.00010733946370390398
0.16,0.226,0.00010141090004257352
0.16,0.228,0.00010091451248095381
0.168,0.228,9.771513592318049e-05
0.168,0.23,9.443264825273421e-05
0.172,0.23,9.393087227116521e-05
0.172,0.232,9.25055391679128e-05
0.182,0.232,8.933671379450416e-05
0.182,0.234,8.835044235309519e-05
0.184,0.234,8.792450718372985e-05
0.184,0.236,8.763425712609835e-05
0.192,0.236,8.616524380781836e-05
0.192,0.238,8.50438015885698e-05
0.194,0.238,8.457478201060687e-05
0.194,0.24,8.42453528581173e-05
0.196,0.24,8.202830970636602e-05
0.196,0.244,8.045648794846678e-05
0.198,0.244,7.78027656261555e-05
0.198,0.248,7.356509007960239e-05
0.2,0.248,7.312950833088186e-05
0.2,0.254,7.107958047621403e-05
0.206,0.254,6.847467623861099e-05
0.206,0.256,6.801945447030685e-05
0.212,0.256,6.635196303598867e-05
0.212,0.258,6.588326435527026e-05
0.216,0.258,6.481238123478815e-05
0.216,0.266,6.39057928752984e-05
0.222,0.266,6.143156473991102e-05
0.222,0.268,6.050391546503558e-05
0.224,0.268,6.032057286341792e-05
0.224,0.272,5.995048256661484e-05
0.228,0.272,5.901004778922213e-05
0.228,0.276,5.854414153854181e-05
0.234,0.276,5.708638728481545e-05
0.234,0.278,5.6869692730161374e-05
0.238,0.278,5.6151109998662886e-05
0.238,0.28,5.602239406851383e-05
0.24,0.28,5.51877334816342e-05
0.24,0.284,5.366858965116344e-05
0.244,0.284,5.299046395271295e-05
0.244,0.292,5.091490333240631e-05
0.246,0.292,5.0849337320026275e-05
0.246,0.3,4.915090182571676e-05
0.258,0.3,4.7248042273854514e-05
0.258,0.302,4.647623167394091e-05
0.262,0.302,4.489523275377326e-05
0.262,0.304,4.476411587594779e-05
0.27,0.304,4.294026903173325e-05
0.27,0.308,4.2694779789968296e-05
0.278,0.308,4.053182092217276e-05
0.278,0.312,3.991384255508259e-05
0.28,0.312,3.979265479496685e-05
0.28,0.316,3.8792292100478114e-05
0.286,0.316,3.826626163623658e-05
0.286,0.32,3.7880530974615347e-05
0.292,0.32,3.7238232666806176e-05
0.292,0.324,3.648327342326228e-05
0.296,0.324,3.614922556303275e-05
0.296,0.332,3.5111155659865466e-05
0.308,0.332,3.395614034058463e-05
0.308,0.334,3.319944428723417e-05
0.31,0.334,3.317118847035214e-05
0.31,0.344,3.226868536406399e-05
0.312,0.344,3.20149851613101e-05
0.312,0.346,3.1906274614979075e-05
0.32,0.346,3.121834055637472e-05
0.32,0.348,3.118575907442405e-05
0.326,0.348,3.051511077730538e-05
0.326,0.35,3.0257572284704914e-05
0.33,0.35,2.7834791775478665e-05
0.33,0.354,2.771845298392385e-05
0.334,0.354,2.7331023452015855e-05
0.334,0.356,2.7253003556964505e-05
0.338,0.356,2.6758131935513164e-05
0.338,0.358,2.6461296931813972e-05
0.342,0.358,2.5970598527153417e-05
0.342,0.36,2.5232206267413704e-05
0.352,0.36,2.4103222194524193e-05
0.352,0.362,2.406547515046288e-05
0.356,0.362,2.4018705578064477e-05
0.356,0.366,2.359496100896522e-05
0.358,0.366,2.3520404882712482e-05
0.358,0.37,2.310660516693776e-05
0.362,0.37,2.262821781956629e-05
0.362,0.372,2.2190081712316237e-05
0.364,0.372,2.1867903690641323e-05
0.364,0.376,2.048397380423926e-05
0.374,0.376,1.8633450615254135e-05
0.374,0.378,1.859355349544787e-05
0.378,0.378,1.8077750040166355e-05
0.378,0.38,1.7745964553176232e-05
0.38,0.38,1.7687770190490556e-05
0.38,0.382,1.7388209550745473e-05
0.382,0.382,1.708882231560583e-05
0.382,0.39,1.63054098972576e-05
0.386,0.39,1.6270562142911625e-05
0.386,0.4,1.4539258518666107e-05
0.392,0.4,1.39557740545381e-05
0.392,0.408,1.1746748787178542e-05
0.394,0.408,1.1344776758655094e-05
0.394,0.416,1.0536178462573121e-05
0.398,0.416,9.668718704782216e-06
0.398,0.418,9.56008612867357e-06
0.402,0.418,9.20481967997048e-06
0.402,0.428,8.688920108863062e-06
0.404,0.428,8.578861884721185e-06
0.404,0.43,8.508789066857695e-06
0.408,0.43,7.899929300513115e-06
0.408,0.436,7.473528504006239e-06
0.414,0.436,7.21968337155276e-06
0.414,0.438,7.1210148391687495e-06
0.416,0.438,7.120036548075382e-06
0.416,0.442,6.927040922283773e-06
0.42,0.442,6.874985398710809e-06
0.42,0.444,6.84509091880638e-06
0.424,0.444,6.7627727009728795e-06
0.424,0.446,6.707859984313047e-06
0.426,0.446,6.625863945930238e-06
0.426,0.45,6.40890518673971e-06
0.428,0.45,6.302458086785622e-06
0.428,0.454,6.121615156148165e-06
0.43,0.454,5.95376433277438e-06
0.43,0.46,5.7893560595496794e-06
0.432,0.46,5.714115364037738e-06
0.432,0.462,5.599229164168258e-06
0.436,0.462,5.456161213806839e-06
0.436,0.464,5.375952794045162e-06
0.44,0.464,5.373516058159922e-06
0.44,0.472,5.36470233368271e-06
0.442,0.472,5.364196265496498e-06
0.442,0.474,5.363662712187521e-06
0.446,0.474,5.34947913471783e-06
0.446,0.484,5.284889585684855e-06
0.448,0.484,5.277083273484997e-06
0.448,0.494,5.23366715708091e-06
0.452,0.494,5.223145866265432e-06
0.452,0.498,5.215704431359738e-06
0.456,0.498,5.1849422489722744e-06
0.456,0.5,5.183376264751694e-06
0.47,0.5,5.0861259584008065e-06
0.47,0.502,5.074655000774659e-06
0.472,0.502,5.059215993223085e-06
0.472,0.504,5.058715351149362e-06
0.474,0.504,5.052185334746643e-06
0.474,0.506,5.050600828773753e-06
0.476,0.506,5.050482066613592e-06
0.476,0.51,4.975923405499273e-06
0.48,0.51,4.960312588814185e-06
0.48,0.514,4.952758352473722e-06
0.482,0.514,4.894266539205315e-06
0.482,0.518,4.8786369520809285e-06
0.484,0.518,4.843667003626862e-06
0.484,0.52,4.8259823322608615e-06
0.488,0.52,4.789890448014778e-06
0.488,0.522,4.7845289672089e-06
0.494,0.522,4.741723856667172e-06
0.494,0.524,4.73688275634897e-06
0.496,0.524,4.710616670092309e-06
0.496,0.526,4.70849218679907e-06
0.5,0.526,4.67063365667067e-06
0.5,0.532,4.630092617691924e-06
0.51,0.532,4.539057321904168e-06
0.51,0.536,4.476569328891769e-06
0.512,0.536,4.471535979738528e-06
0.512,0.538,4.470130683301727e-06
0.524,0.538,4.324775202099725e-06
0.524,0.54,4.3241002757109224e-06
0.526,0.54,4.320365136209191e-06
0.526,0.542,4.289016847630607e-06
0.528,0.542,4.269485920493483e-06
0.528,0.548,4.142130873942934e-06
0.536,0.548,4.111149293255424e-06
0.536,0.55,4.064051780360124e-06
0.542,0.55,4.038861480165017e-06
0.542,0.554,4.005046619520822e-06
0.544,0.554,4.001807400766819e-06
0.544,0.556,3.9983950675560125e-06
0.546,0.556,3.984216843845973e-06
0.546,0.558,3.966401670629365e-06
0.548,0.558,3.96068915013296e-06
0.548,0.564,3.944218660723139e-06
0.554,0.564,3.929759019614991e-06
0.554,0.566,3.923664617411386e-06
