ligand_type,r_max,var_rate,ratio
nag,50,0.0004455196450438,10
nag,50,0.0003146926518384,10
nag,50,3.0396903628347175e-05,10
nag,50,2.079073830655662e-05,10
nag,50,7.150444192948995e-05,10
nag,50,8.957103550893325e-05,10
nag,50,0.0002354567710293,10
nag,50,0.0004352200443674,10
nag,50,5.502489409662804e-05,10
nag,50,0.0003563218664754,10
nag,50,0.0001242846749972,10
nag,50,0.0005404222640463,10
nag,50,0.0004579859121338,10
nag,50,0.0003766101525869,10
nag,50,0.000325162055186,10
nag,50,8.915506234656444e-05,10
nag,50,4.674004465402127e-05,10
nag,50,1.802524446729489e-05,10
nag,50,6.399096514800878e-05,10
nag,50,0.0003968791745462,10
nag,50,8.920193459156834e-06,10
nag,50,0.000132327269763,10
nag,50,2.444066453811208e-05,10
nag,50,0.0,10
nag,50,0.0001471682323371,10
nag,50,0.0001006167901689,10
nag,50,0.0001274620870739,10
nag,50,7.079910119959112e-05,10
nag,50,0.0001678794987066,10
nag,50,3.9515964571509915e-05,10
nag,50,2.609280049864847e-05,10
nag,50,0.0001204188925366,10
nag,50,3.5196771454777955e-05,10
nag,50,0.0001011704402314,10
nag,50,0.0002578295162665,10
nag,50,0.0002217222383168,10
nag,50,0.0001943630865,10
nag,50,0.000183854648898,10
nag,50,5.5680607000693425e-05,10
nag,50,5.5473548244236104e-05,10
nag,50,2.029309269008896e-05,10
nag,50,2.7921848339068995e-05,10
nag,50,0.0001306456961238,10
nag,50,0.0,10
nag,50,8.09591708255371e-05,10
nag,50,1.7362727992538082e-05,10
nag,50,0.0001430709860874,10
nag,50,0.0,10
nag,50,3.3788402243357196e-05,10
nag,50,3.088319157505869e-05,10
nag,50,1.9898168580156868e-05,10
nag,50,0.0001714924262366,10
nag,50,0.0002075863482465,10
nag,50,4.129280378826704e-05,10
nag,50,1.3525989242965167e-05,10
nag,50,0.0003270635508834,10
nag,50,0.0004875882765615,10
nag,50,0.0001608410465122,10
nag,50,0.0001454158983694,10
nag,50,8.377022770363499e-05,10
nag,50,0.0001729970961767,10
nag,50,0.0007044964496882,10
nag,50,8.273540518530328e-05,10
nag,50,5.473225495543629e-05,10
nag,50,5.761144145506496e-05,10
nag,50,0.0003889804599506,10
nag,50,0.0002971355598457,10
nag,50,0.0001780243745464,10
nag,50,0.0,10
nag,50,0.0001806009623918,10
nag,50,0.0002108096943211,10
nag,50,2.9283016746415917e-05,10
nag,50,6.379779131432597e-05,10
nag,50,4.018312181207642e-05,10
nag,50,0.0001850469418661,10
nag,50,0.0003686640318426,10
nag,50,0.0002234863791925,10
nag,50,9.18678806444709e-05,10
nag,50,0.0001884539468985,10
nag,50,1.1432562782778696e-05,10
nag,50,0.0004690716369223,10
nag,50,4.355171606101206e-05,10
nag,50,0.0001380082190002,10
nag,50,0.0001869366141036,10
nag,50,0.0004163173005198,10
nag,50,0.0002403063263194,10
nag,50,0.0003544446557187,10
nag,50,2.4044065057597556e-05,10
nag,50,1.641111845765378e-05,10
nag,50,1.501393026465951e-05,10
nag,50,2.26311563062012e-05,10
nag,50,3.1144161269651034e-05,10
