class,n,n_zero_dropped,n_unique,gamma_params,gamma_ks,gamma_p,lognorm_params,lognorm_ks,lognorm_p,weibull_params,weibull_ks,weibull_p,loglogistic_params,loglogistic_ks,loglogistic_p,pareto_params,pareto_ks,pareto_p,seed,class_
nag,1000,214,786,"(0.8398151388572406, 0, np.float64(2.0801921940625304e-06))",0.030443983209816672,0.45115289277618753,"(np.float64(1.4584738159817008), 0, np.float64(8.655833852182021e-07))",0.07840408541613181,0.00011938959438861426,"(np.float64(0.9006468492140595), 0, np.float64(1.663484364675234e-06))",0.03364140779911795,0.3286321016645489,"(np.float64(1.2588823618035905), 0, np.float64(9.985421030633267e-07))",0.06665994089195171,0.0017615870693850186,"(np.float64(1.2588823618035905), 0, np.float64(9.985421030633267e-07))",0.41158739080031026,5.704851525201247e-121,5,nag
bg,1000,0,1000,"(10.283504475534489, 0, np.float64(3.427573412352784e-08))",0.020068826820550834,0.8076153209140308,"(np.float64(0.32039354514916857), 0, np.float64(3.3548254029759527e-07))",0.04103284819095443,0.06706065649839854,"(np.float64(3.4013542785322803), 0, np.float64(3.9172133006106236e-07))",0.04353229902914213,0.04385900756395367,"(np.float64(0.10855804067425058), 0, np.float64(3.349749660447638e-07))",0.47671460596602544,2.4972758040565295e-209,"(np.float64(0.10855804067425058), 0, np.float64(3.349749660447638e-07))",0.35929836366586554,4.2488259565726773e-116,5,bg
ag,1000,4,996,"(0.9794614130609754, 0, np.float64(0.0014101158573977116))",0.05740406909339746,0.002705149197530329,"(np.float64(1.1631258234656106), 0, np.float64(0.0007650263125872501))",0.042887563542760854,0.04978084627379076,"(np.float64(0.943080696400871), 0, np.float64(0.0013404025139820688))",0.04694881578298493,0.023990607768637595,"(np.float64(1.5201695698393647), 0, np.float64(0.0008018591227837801))",0.025979589344575782,0.5038560586599773,"(np.float64(1.5201695698393647), 0, np.float64(0.0008018591227837801))",0.38954862597523143,1.2783949460152996e-136,6,ag
nag,1000,214,786,"(0.8533616578039587, 0, np.float64(1.9334390315489187e-06))",0.018200779066667616,0.9527375761352486,"(np.float64(1.4548220540135923), 0, np.float64(8.278310115677164e-07))",0.08161593534905326,5.299571448631534e-05,"(np.float64(0.9078554517127508), 0, np.float64(1.5768685245582426e-06))",0.022616815270571466,0.8074726840926176,"(np.float64(1.283833320391361), 0, np.float64(9.5207466347856e-07))",0.05560302217429669,0.014904877988082226,"(np.float64(1.283833320391361), 0, np.float64(9.5207466347856e-07))",0.46356094985040186,3.4897968199268505e-155,6,nag
bg,1000,0,1000,"(10.582264917193784, 0, np.float64(3.2621513580626606e-08))",0.01712875322529228,0.9259834828700654,"(np.float64(0.3144695258088744), 0, np.float64(3.290333524873862e-07))",0.030337470684829393,0.3098934256182181,"(np.float64(3.4264872469522785), 0, np.float64(3.835841501953832e-07))",0.059575715975694776,0.0015818331820817314,"(np.float64(0.10855803999436027), 0, np.float64(3.2849816032973225e-07))",0.47769390969569203,3.049647991997309e-210,"(np.float64(0.10855803999436027), 0, np.float64(3.2849816032973225e-07))",0.396796093204746,1.6575522195906227e-142,6,bg
ag,1000,4,996,"(1.0067321797876574, 0, np.float64(0.001314883149622111))",0.033626381045225306,0.20539077758362256,"(np.float64(1.197151983056545), 0, np.float64(0.0007464340416212655))",0.06670109715492695,0.00026903768894481934,"(np.float64(0.9778898193349548), 0, np.float64(0.0013100639284525548))",0.032044176251555645,0.25266404538971443,"(np.float64(1.4939046403197793), 0, np.float64(0.0008105112233960281))",0.042596036908579535,0.05232602663599217,"(np.float64(1.4939046403197793), 0, np.float64(0.0008105112233960281))",0.3689188304152452,4.243926175318347e-122,7,ag
nag,1000,235,765,"(0.89904731315984, 0, np.float64(1.7909538295492416e-06))",0.0237135421579574,0.773528212316973,"(np.float64(1.388811807374622), 0, np.float64(8.402871172762496e-07))",0.09407994423557048,2.413015342939852e-06,"(np.float64(0.9399902983971354), 0, np.float64(1.5661384645488256e-06))",0.02611423166147786,0.6639065940412108,"(np.float64(1.3212131807032548), 0, np.float64(9.618840459435059e-07))",0.06160044261805897,0.005759303350425639,"(np.float64(1.3212131807032548), 0, np.float64(9.618840459435059e-07))",0.4395794722588018,4.358806703975833e-135,7,nag
bg,1000,0,1000,"(11.761224369435222, 0, np.float64(2.978060507271296e-08))",0.01919180534682363,0.8479135013178583,"(np.float64(0.2980282354437482), 0, np.float64(3.354761308061493e-07))",0.03831352225850143,0.10344673681833838,"(np.float64(3.588415948917474), 0, np.float64(3.877903821383086e-07))",0.056051833368903736,0.0035854712742832756,"(np.float64(0.10855804067425058), 0, np.float64(3.349749660447638e-07))",0.47902332754273846,1.7406752186513334e-211,"(np.float64(0.10855804067425058), 0, np.float64(3.349749660447638e-07))",0.36562668863625947,2.4094930550078593e-120,7,bg
ag,1000,5,995,"(1.0475837894503814, 0, np.float64(0.0012971821690368776))",0.04366686241855433,0.04366226345760804,"(np.float64(1.1660365519278157), 0, np.float64(0.0007855593193893968))",0.06676725610925066,0.00026669646399838797,"(np.float64(0.9931912154284958), 0, np.float64(0.0013546796454527719))",0.04186983268739819,0.059366854646824896,"(np.float64(1.5596498360741329), 0, np.float64(0.0008489523034591755))",0.03400694561033446,0.1955539411078936,"(np.float64(1.5596498360741329), 0, np.float64(0.0008489523034591755))",0.38194007071486574,5.006701879749954e-131,8,ag
nag,1000,242,758,"(0.8880620393489004, 0, np.float64(1.8753243466476398e-06))",0.01973410791570429,0.9236038601537939,"(np.float64(1.3949206926113888), 0, np.float64(8.612870176520066e-07))",0.08557885149281508,2.8045251449911928e-05,"(np.float64(0.9326454865659939), 0, np.float64(1.6138527234688764e-06))",0.022372005393904604,0.834078530891164,"(np.float64(1.3128694404083707), 0, np.float64(9.88835311113166e-07))",0.06059286919661666,0.0073269822934887265,"(np.float64(1.3128694404083707), 0, np.float64(9.88835311113166e-07))",0.3836334858844066,7.420779591879552e-101,8,nag
